
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000848                       # Number of seconds simulated (Second)
board.cache_hierarchy.clusters0.l1d_cache.demandMshrMissRate::total     0.038490                       # mshr miss ratio for demand accesses (Ratio)
board.cache_hierarchy.clusters0.l1d_cache.overallMshrMissRate::cache_hierarchy.clusters0.l1d_cache.prefetcher          inf                       # mshr miss ratio for overall accesses (Ratio)
board.cache_hierarchy.clusters0.l1d_cache.overallMshrMissRate::processor.cores0.core.data     0.038490                       # mshr miss ratio for overall accesses (Ratio)
board.cache_hierarchy.clusters0.l1d_cache.overallMshrMissRate::total     0.039796                       # mshr miss ratio for overall accesses (Ratio)
board.cache_hierarchy.clusters0.l1d_cache.demandAvgMshrMissLatency::processor.cores0.core.data 17445.129220                       # average overall mshr miss latency ((Tick/Count))
board.cache_hierarchy.clusters0.l1d_cache.demandAvgMshrMissLatency::total 17445.129220                       # average overall mshr miss latency ((Tick/Count))
board.cache_hierarchy.clusters0.l1d_cache.overallAvgMshrMissLatency::cache_hierarchy.clusters0.l1d_cache.prefetcher  6315.410169                       # average overall mshr miss latency ((Tick/Count))
board.cache_hierarchy.clusters0.l1d_cache.overallAvgMshrMissLatency::processor.cores0.core.data 17445.129220                       # average overall mshr miss latency ((Tick/Count))
board.cache_hierarchy.clusters0.l1d_cache.overallAvgMshrMissLatency::total 17080.051334                       # average overall mshr miss latency ((Tick/Count))
board.cache_hierarchy.clusters0.l1d_cache.replacements         2448                       # number of replacements (Count)
board.cache_hierarchy.clusters0.l1d_cache.HardPFReq.mshrMisses::cache_hierarchy.clusters0.l1d_cache.prefetcher          885                       # number of HardPFReq MSHR misses (Count)
board.cache_hierarchy.clusters0.l1d_cache.HardPFReq.mshrMisses::total          885                       # number of HardPFReq MSHR misses (Count)
board.cache_hierarchy.clusters0.l1d_cache.HardPFReq.mshrMissLatency::cache_hierarchy.clusters0.l1d_cache.prefetcher      5589138                       # number of HardPFReq MSHR miss ticks (Tick)
board.cache_hierarchy.clusters0.l1d_cache.HardPFReq.mshrMissLatency::total      5589138                       # number of HardPFReq MSHR miss ticks (Tick)
board.cache_hierarchy.clusters0.l1d_cache.HardPFReq.mshrMissRate::cache_hierarchy.clusters0.l1d_cache.prefetcher          inf                       # mshr miss rate for HardPFReq accesses (Ratio)
board.cache_hierarchy.clusters0.l1d_cache.HardPFReq.mshrMissRate::total          inf                       # mshr miss rate for HardPFReq accesses (Ratio)
board.cache_hierarchy.clusters0.l1d_cache.HardPFReq.avgMshrMissLatency::cache_hierarchy.clusters0.l1d_cache.prefetcher  6315.410169                       # average HardPFReq mshr miss latency ((Tick/Count))
board.cache_hierarchy.clusters0.l1d_cache.HardPFReq.avgMshrMissLatency::total  6315.410169                       # average HardPFReq mshr miss latency ((Tick/Count))
board.cache_hierarchy.clusters0.l1d_cache.LoadLockedReq.hits::processor.cores0.core.data          100                       # number of LoadLockedReq hits (Count)
board.cache_hierarchy.clusters0.l1d_cache.LoadLockedReq.hits::total          100                       # number of LoadLockedReq hits (Count)
board.cache_hierarchy.clusters0.l1d_cache.LoadLockedReq.accesses::processor.cores0.core.data          100                       # number of LoadLockedReq accesses(hits+misses) (Count)
board.cache_hierarchy.clusters0.l1d_cache.LoadLockedReq.accesses::total          100                       # number of LoadLockedReq accesses(hits+misses) (Count)
board.cache_hierarchy.clusters0.l1d_cache.ReadReq.hits::processor.cores0.core.data       482164                       # number of ReadReq hits (Count)
board.cache_hierarchy.clusters0.l1d_cache.ReadReq.hits::total       482164                       # number of ReadReq hits (Count)
board.cache_hierarchy.clusters0.l1d_cache.ReadReq.misses::processor.cores0.core.data        12847                       # number of ReadReq misses (Count)
board.cache_hierarchy.clusters0.l1d_cache.ReadReq.misses::total        12847                       # number of ReadReq misses (Count)
board.cache_hierarchy.clusters0.l1d_cache.ReadReq.missLatency::processor.cores0.core.data    240719373                       # number of ReadReq miss ticks (Tick)
board.cache_hierarchy.clusters0.l1d_cache.ReadReq.missLatency::total    240719373                       # number of ReadReq miss ticks (Tick)
board.cache_hierarchy.clusters0.l1d_cache.ReadReq.accesses::processor.cores0.core.data       495011                       # number of ReadReq accesses(hits+misses) (Count)
board.cache_hierarchy.clusters0.l1d_cache.ReadReq.accesses::total       495011                       # number of ReadReq accesses(hits+misses) (Count)
board.cache_hierarchy.clusters0.l1d_cache.ReadReq.missRate::processor.cores0.core.data     0.025953                       # miss rate for ReadReq accesses (Ratio)
board.cache_hierarchy.clusters0.l1d_cache.ReadReq.missRate::total     0.025953                       # miss rate for ReadReq accesses (Ratio)
board.cache_hierarchy.clusters0.l1d_cache.ReadReq.avgMissLatency::processor.cores0.core.data 18737.399626                       # average ReadReq miss latency ((Tick/Count))
board.cache_hierarchy.clusters0.l1d_cache.ReadReq.avgMissLatency::total 18737.399626                       # average ReadReq miss latency ((Tick/Count))
board.cache_hierarchy.clusters0.l1d_cache.ReadReq.mshrMisses::processor.cores0.core.data        12847                       # number of ReadReq MSHR misses (Count)
board.cache_hierarchy.clusters0.l1d_cache.ReadReq.mshrMisses::total        12847                       # number of ReadReq MSHR misses (Count)
board.cache_hierarchy.clusters0.l1d_cache.ReadReq.mshrMissLatency::processor.cores0.core.data    236441322                       # number of ReadReq MSHR miss ticks (Tick)
board.cache_hierarchy.clusters0.l1d_cache.ReadReq.mshrMissLatency::total    236441322                       # number of ReadReq MSHR miss ticks (Tick)
board.cache_hierarchy.clusters0.l1d_cache.ReadReq.mshrMissRate::processor.cores0.core.data     0.025953                       # mshr miss rate for ReadReq accesses (Ratio)
board.cache_hierarchy.clusters0.l1d_cache.ReadReq.mshrMissRate::total     0.025953                       # mshr miss rate for ReadReq accesses (Ratio)
board.cache_hierarchy.clusters0.l1d_cache.ReadReq.avgMshrMissLatency::processor.cores0.core.data 18404.399626                       # average ReadReq mshr miss latency ((Tick/Count))
board.cache_hierarchy.clusters0.l1d_cache.ReadReq.avgMshrMissLatency::total 18404.399626                       # average ReadReq mshr miss latency ((Tick/Count))
board.cache_hierarchy.clusters0.l1d_cache.StoreCondReq.misses::processor.cores0.core.data          100                       # number of StoreCondReq misses (Count)
board.cache_hierarchy.clusters0.l1d_cache.StoreCondReq.misses::total          100                       # number of StoreCondReq misses (Count)
board.cache_hierarchy.clusters0.l1d_cache.StoreCondReq.missLatency::processor.cores0.core.data      1602063                       # number of StoreCondReq miss ticks (Tick)
board.cache_hierarchy.clusters0.l1d_cache.StoreCondReq.missLatency::total      1602063                       # number of StoreCondReq miss ticks (Tick)
board.cache_hierarchy.clusters0.l1d_cache.StoreCondReq.accesses::processor.cores0.core.data          100                       # number of StoreCondReq accesses(hits+misses) (Count)
board.cache_hierarchy.clusters0.l1d_cache.StoreCondReq.accesses::total          100                       # number of StoreCondReq accesses(hits+misses) (Count)
board.cache_hierarchy.clusters0.l1d_cache.StoreCondReq.missRate::processor.cores0.core.data            1                       # miss rate for StoreCondReq accesses (Ratio)
board.cache_hierarchy.clusters0.l1d_cache.StoreCondReq.missRate::total            1                       # miss rate for StoreCondReq accesses (Ratio)
board.cache_hierarchy.clusters0.l1d_cache.StoreCondReq.avgMissLatency::processor.cores0.core.data 16020.630000                       # average StoreCondReq miss latency ((Tick/Count))
board.cache_hierarchy.clusters0.l1d_cache.StoreCondReq.avgMissLatency::total 16020.630000                       # average StoreCondReq miss latency ((Tick/Count))
board.cache_hierarchy.clusters0.l1d_cache.StoreCondReq.mshrMisses::processor.cores0.core.data          100                       # number of StoreCondReq MSHR misses (Count)
board.cache_hierarchy.clusters0.l1d_cache.StoreCondReq.mshrMisses::total          100                       # number of StoreCondReq MSHR misses (Count)
board.cache_hierarchy.clusters0.l1d_cache.StoreCondReq.mshrMissLatency::processor.cores0.core.data      1568763                       # number of StoreCondReq MSHR miss ticks (Tick)
board.cache_hierarchy.clusters0.l1d_cache.StoreCondReq.mshrMissLatency::total      1568763                       # number of StoreCondReq MSHR miss ticks (Tick)
board.cache_hierarchy.clusters0.l1d_cache.StoreCondReq.mshrMissRate::processor.cores0.core.data            1                       # mshr miss rate for StoreCondReq accesses (Ratio)
board.cache_hierarchy.clusters0.l1d_cache.StoreCondReq.mshrMissRate::total            1                       # mshr miss rate for StoreCondReq accesses (Ratio)
board.cache_hierarchy.clusters0.l1d_cache.StoreCondReq.avgMshrMissLatency::processor.cores0.core.data 15687.630000                       # average StoreCondReq mshr miss latency ((Tick/Count))
